TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.geometry.core.internal.DistancedValue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8802447552447552,53,42
org.apache.commons.geometry.core.internal.GeometryInternalError,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
org.apache.commons.geometry.core.internal.GeometryInternalUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5059523809523809,37,14
org.apache.commons.geometry.core.internal.HyperplaneSubsets,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,52,0
org.apache.commons.geometry.core.internal.IteratorTransform,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,57,0
org.apache.commons.geometry.core.internal.PointMapAsSetAdapter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,156,0
org.apache.commons.geometry.core.internal.SimpleTupleFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8913831337132554,619,595
org.apache.commons.geometry.core.partitioning.AbstractConvexHyperplaneBoundedRegion,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,662,0
org.apache.commons.geometry.core.partitioning.BoundaryList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,52,0
org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTree,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1509,0
org.apache.commons.geometry.core.partitioning.bsp.AbstractBSPTreeMergeOperator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,122,0
org.apache.commons.geometry.core.partitioning.bsp.AbstractPartitionedRegionBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,325,0
org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1191,0
org.apache.commons.geometry.core.partitioning.bsp.BSPTreePrinter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,143,0
org.apache.commons.geometry.core.partitioning.bsp.RegionCutBoundary,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,209,0
org.apache.commons.geometry.core.partitioning.Split,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,73,70
